id,cell_xy,group_id,type_id
1,0|0,4,0
2,1|0,4,0
3,2|0,4,0
4,3|0,4,1
5,4|0,4,1
6,5|0,4,1
7,6|0,4,1
8,7|0,4,1
9,8|0,4,1
10,9|0,4,3
11,10|0,4,0
12,11|0,4,0
13,12|0,4,0
14,0|1,4,0
15,1|1,4,0
16,2|1,4,0
17,3|1,4,1
18,4|1,1,6
19,5|1,4,1
20,6|1,4,1
21,7|1,4,1
22,8|1,4,1
23,9|1,4,1
24,10|1,4,1
25,11|1,4,0
26,12|1,4,0
27,0|2,4,0
28,1|2,4,0
29,2|2,4,1
30,3|2,4,1
31,4|2,4,1
32,5|2,4,1
33,6|2,4,3
34,7|2,4,1
35,8|2,4,1
36,9|2,4,1
37,10|2,4,1
38,11|2,4,0
39,12|2,4,0
40,0|3,4,0
41,1|3,4,0
42,2|3,4,1
43,3|3,4,1
44,4|3,4,1
45,5|3,4,2
46,6|3,4,2
47,7|3,4,2
48,8|3,4,2
49,9|3,4,1
50,10|3,4,1
51,11|3,4,1
52,12|3,4,0
53,0|4,4,0
54,1|4,4,1
55,2|4,4,1
56,3|4,4,3
57,4|4,4,2
58,5|4,4,4
59,6|4,4,2
60,7|4,4,4
61,8|4,4,2
62,9|4,4,3
63,10|4,4,1
64,11|4,4,1
65,12|4,4,0
66,0|5,4,0
67,1|5,4,1
68,2|5,4,1
69,3|5,4,1
70,4|5,4,2
71,5|5,4,2
72,6|5,4,2
73,7|5,4,2
74,8|5,4,2
75,9|5,4,2
76,10|5,4,1
77,11|5,4,1
78,12|5,4,1
79,0|6,4,3
80,1|6,4,1
81,2|6,4,1
82,3|6,4,2
83,4|6,4,4
84,5|6,4,2
85,6|6,4,5
86,7|6,4,2
87,8|6,4,4
88,9|6,4,2
89,10|6,4,1
90,11|6,2,7
91,12|6,4,1
92,0|7,4,0
93,1|7,4,1
94,2|7,4,1
95,3|7,4,1
96,4|7,4,2
97,5|7,4,2
98,6|7,4,2
99,7|7,4,2
100,8|7,4,2
101,9|7,4,2
102,10|7,4,1
103,11|7,4,1
104,12|7,4,1
105,0|8,4,0
106,1|8,4,1
107,2|8,4,1
108,3|8,4,3
109,4|8,4,2
110,5|8,4,4
111,6|8,4,2
112,7|8,4,4
113,8|8,4,2
114,9|8,4,3
115,10|8,4,1
116,11|8,4,1
117,12|8,4,0
118,0|9,4,0
119,1|9,4,0
120,2|9,4,1
121,3|9,4,1
122,4|9,4,1
123,5|9,4,2
124,6|9,4,2
125,7|9,4,2
126,8|9,4,2
127,9|9,4,1
128,10|9,4,1
129,11|9,4,1
130,12|9,4,0
131,0|10,4,0
132,1|10,4,0
133,2|10,4,1
134,3|10,4,1
135,4|10,4,1
136,5|10,4,1
137,6|10,4,3
138,7|10,4,1
139,8|10,4,1
140,9|10,4,1
141,10|10,4,1
142,11|10,4,0
143,12|10,4,0
144,0|11,4,0
145,1|11,4,0
146,2|11,4,0
147,3|11,4,1
148,4|11,3,8
149,5|11,4,1
150,6|11,4,1
151,7|11,4,1
152,8|11,4,1
153,9|11,4,1
154,10|11,4,1
155,11|11,4,0
156,12|11,4,0
157,0|12,4,0
158,1|12,4,0
159,2|12,4,0
160,3|12,4,1
161,4|12,4,1
162,5|12,4,1
163,6|12,4,1
164,7|12,4,1
165,8|12,4,1
166,9|12,4,3
167,10|12,4,0
168,11|12,4,0
169,12|12,4,0
