id,name,equip_id,type,rank
1,-1,5749,1,
2,-1,5750,1,
3,-1,5751,1,
4,-1,5752,1,
5,-1,5753,1,
6,-1,5754,1,
7,-1,5755,1,
8,-1,5756,1,
9,-1,5757,1,
10,-1,5758,1,
11,-1,5759,1,
12,-1,5760,1,
13,-1,5761,1,
14,-1,5762,1,
15,-1,5763,1,
16,-1,5764,1,
17,-1,5765,1,
18,-1,5766,1,
19,-1,5767,1,
20,-1,5768,1,
21,-1,5769,1,
22,-1,5770,1,
23,-1,5771,1,
24,-1,5772,1,
25,-1,6228,2,101
26,-1,6229,2,102
27,-1,6230,2,103
28,-1,6231,2,104
29,-1,6232,2,105
30,-1,6233,2,106
31,-1,6234,2,107
32,-1,6235,2,108
33,-1,6236,2,109
34,-1,6401,2,110
35,-1,6407,2,111
36,-1,6343,2,101
37,-1,6344,2,102
38,-1,6345,2,103
39,-1,6346,2,104
40,-1,6347,2,105
41,-1,6348,2,106
42,-1,6349,2,107
43,-1,6350,2,108
44,-1,6351,2,109
45,-1,6406,2,110
46,-1,6412,2,111
47,-1,6473,2,112
48,-1,6478,2,112
