doll_id,item_cost,awards,show
7610010,193#100,940047#50,1
7620010,193#100,940048#50,1
7630010,193#100,940049#50,1
7640010,193#100,940050#50,1
7650010,193#100,940051#50,1
7660010,193#100,940052#50,1
6610013,193#50,940041#50,2
6620013,193#50,940042#50,2
6630013,193#50,940043#50,2
6640013,193#50,940044#50,2
6650013,193#50,940045#50,2
6660013,193#50,940046#50,2
6610010,193#10,940031#50,3
6620010,193#10,940032#50,3
6630010,193#10,940033#50,3
6640010,193#10,940034#50,3
6650010,193#10,940035#50,3
6660010,193#10,940036#50,3
