id,id_text,host,group
1,T1,1,1
2,T2,1,2
3,S1,3,3
4,S2,35,2
5,S3,5,1
6,S4,3,2
7,S5,7,1
8,S6,5,2
9,S7,26,3
10,S8,7,2
11,S9,34,2
12,S10,26,2
13,S11,35,2
14,S12,7,3
15,S13,3,2
16,S14,25,3
17,S15,3,3
18,S16,5,2
19,S17,34,3
20,S18,25,2
21,S19,7,1
22,S20,38,2
23,S21,26,3
24,S22,35,3
25,S23,25,1
26,S24,26,1
27,S25,5,3
28,S26,3,1
29,S27,7,2
30,S28,35,3
31,S29,38,3
32,S30,38,2
33,S31,5,3
34,S32,34,1
35,S33,35,1
36,S34,25,3
37,S35,39,3
38,S36,38,1
39,S37,39,1
40,S38,39,2
41,S39,35,1
42,S40,39,1
43,S41,34,3
44,S42,38,3
45,S43,39,3
46,S44,5,1
47,S45,25,2
48,S46,7,3
49,S47,26,2
50,S48,38,1
51,S49,26,1
52,S50,34,1
53,S51,34,2
54,S52,3,1
55,S53,25,1
56,S54,39,2
57,S55,69,3
58,S56,67,2
59,S57,59,1
60,S58,79,3
61,S59,61,1
62,S60,84,3
63,S61,59,3
64,S62,61,2
65,S63,85,3
66,S64,66,1
67,S65,67,1
68,S66,66,3
69,S67,69,1
70,S68,79,2
71,S69,59,2
72,S70,67,2
73,S71,66,2
74,S72,66,3
75,S73,69,3
76,S74,69,2
77,S75,61,3
78,S76,66,2
79,S77,79,1
80,S78,84,2
81,S79,67,1
82,S80,67,3
83,S81,83,1
84,S82,84,1
85,S83,85,1
86,S84,79,1
87,S85,83,1
88,S86,59,1
89,S87,84,2
90,S88,67,3
91,S89,83,2
92,S90,83,3
93,S91,84,1
94,S92,85,2
95,S93,69,2
96,S94,84,3
97,S95,85,1
98,S96,69,1
99,S97,61,2
100,S98,79,2
101,S99,59,2
102,S100,61,3
103,S101,83,3
104,S102,85,2
105,S103,79,3
106,S104,66,1
107,S105,59,3
108,S106,85,3
109,S107,61,1
110,S108,83,2
111,S109,111,1
112,S110,112,1
113,S111,133,2
114,S112,114,1
115,S113,133,3
116,S114,132,3
117,S115,117,1
118,S116,114,2
119,S117,111,2
120,S118,111,3
121,S119,114,3
122,S120,132,2
123,S121,127,3
124,S122,114,2
125,S123,111,2
126,S124,126,1
127,S125,127,1
128,S126,126,3
