id,use_pic,use_pic_vague,updated_use_pic,updated_use_pic_vague
1,head_wy_png,head_wy_vague_png,head_ssx_png,head_ssx_vague_png
2,head_wc_png,head_wc_vague_png,head_jx_png,head_jx_vague_png
3,head_adh_png,head_adh_vague_png,head_ce_png,head_ce_vague_png
4,head_wy_png,head_wy_vague_png,head_ssx_png,head_ssx_vague_png
5,head_wc_png,head_wc_vague_png,head_jx_png,head_jx_vague_png
6,head_adh_png,head_adh_vague_png,head_ce_png,head_ce_vague_png
7,head_wy_png,head_wy_vague_png,head_ssx_png,head_ssx_vague_png
8,head_wc_png,head_wc_vague_png,head_jx_png,head_jx_vague_png
9,head_adh_png,head_adh_vague_png,head_ce_png,head_ce_vague_png
10,head_wy_png,head_wy_vague_png,head_ssx_png,head_ssx_vague_png
11,head_wc_png,head_wc_vague_png,head_jx_png,head_jx_vague_png
12,head_adh_png,head_adh_vague_png,head_ce_png,head_ce_vague_png
13,head_wy_png,head_wy_vague_png,head_ssx_png,head_ssx_vague_png
14,head_wc_png,head_wc_vague_png,head_jx_png,head_jx_vague_png
15,head_adh_png,head_adh_vague_png,head_ce_png,head_ce_vague_png
16,head_wy_png,head_wy_vague_png,head_ssx_png,head_ssx_vague_png
17,head_wc_png,head_wc_vague_png,head_jx_png,head_jx_vague_png
18,head_adh_png,head_adh_vague_png,head_ce_png,head_ce_vague_png
