id,need_exp,extra_output,extra_midas,midas_buy_times,partners_limit,gamble,month_card_awards,month_card_awards_show,gacha_box,pub_mission_num,quiz_buy_times,battle_speed,vip_awards,vip_giftbox,vip_giftbox_cost,travel_buy_time_limit,gamble_up
0,0,0,0,5,100,,2#370,,,5,0,1,,,,10,
1,350,0.1,0.2,6,120,,2#370,,,6,1,2,930080#50,36#6|35#10,2#400,11,
2,700,0.2,0.4,6,140,1,2#410|35#1,2#40|35#1,,6,1,2,1054#1|4054#1,940002#50|74#128,2#700,12,
3,1400,0.3,0.6,7,160,1,2#430|35#1,2#60|35#1,1,7,2,2,2054#1|3054#1,956001#50|20#2,2#1000,13,1
4,3150,0.45,0.8,7,190,1,2#450|35#1,2#80|35#1,1,7,2,2,930091#50,940004#50|36#5,2#1500,14,1
5,7560,0.6,1,8,220,1,2#470|35#2,2#100|35#2,1,8,3,2,1063#1|4063#1,930117#50|29#5,2#2000,15,1
6,18900,0.75,1.2,8,260,1,2#490|35#2|940002#1,2#120|35#2|940002#1,1,8,3,2,2063#1|3063#1,930178#50|36#10,2#2500,16,1
7,47250,0.9,1.4,9,300,1,2#510|35#3|940002#2,2#140|35#3|940002#2,1,9,4,2,930119#50,940004#50|73#25,2#2500,17,1
8,103950,1.1,1.6,9,340,1,2#530|35#3|940002#2,2#160|35#3|940002#2,1,10,4,2,1066#1|4066#1,930177#50|73#25|29#5,2#3000,18,1
9,187110,1.3,1.8,10,390,1,2#550|35#4|940002#3,2#180|35#4|940002#3,1,11,5,2,2066#1|3066#1,930179#50|73#25|36#10,2#3000,19,1
10,299376,1.5,2,11,440,1,2#570|35#4|940002#3,2#200|35#4|940002#3,1,12,5,2,930176#50,940006#50|73#25,2#3000,20,1
11,449064,2,3.5,12,490,1,2#590|35#5|940002#3,2#220|35#5|940002#3,1,13,5,2,930180#50,940005#50|73#30,2#3500,21,1
12,673596,2,4,13,540,1,2#610|35#5|940002#4,2#240|35#5|940002#4,1,14,6,2,6454#1,940006#50|73#35,2#3500,22,1
13,1010394,2,4,14,640,1,2#630|35#5|940002#5,2#260|35#5|940002#5,1,15,6,2,6436#1,940005#50|73#35,2#3500,23,1
14,2000000,2,4,15,740,1,2#650|35#6|940002#6,2#280|35#6|940002#6,1,16,6,2,6718#1,4102007#1|73#40,2#5000,24,1
15,3100000,2,4,16,840,1,2#670|35#6|940002#7,2#300|35#6|940002#7,1,17,7,2,4501002#1,4102008#1|73#50,2#6000,25,1
16,4500000,2,4,17,940,1,2#690|35#6|940002#8,2#320|35#6|940002#8,1,18,7,2,4501002#1,4102008#1|73#60,2#7000,26,1
