id,cost
1,14#0|1#200
2,14#36|1#10000
3,14#144|1#30000
4,14#324|1#70000
5,14#684|1#150000
6,14#1224|1#310000
7,14#1944|1#630000
8,14#3384|1#1130000
9,14#5184|1#2330000
10,14#7344|1#4130000
11,14#11664|1#6630000
12,14#16704|1#12630000
13,14#22464|1#21630000
14,14#28944|1#33630000
15,14#37584|1#48630000
16,14#46944|1#66630000
17,14#59904|1#87630000
18,14#75744|1#111630000
19,14#95184|1#138630000
20,14#118944|1#168630000
21,14#151344|1#203630000
22,14#196344|1#243630000
23,14#253944|1#293630000
