id,skill_id,skill_lv,items
1,1101,1,1#5000|4#10
2,1101,2,1#15000|4#30
3,1101,3,1#30000|4#60
4,1101,4,1#50000|4#100
5,1101,5,1#75000|4#150
6,1101,6,1#105000|4#210
7,1101,7,1#140000|4#280
8,1101,8,1#180000|4#360
9,1101,9,1#225000|4#450
10,1101,10,1#275000|4#550
11,1101,11,1#330000|4#660
12,1101,12,1#390000|4#780
13,1101,13,1#455000|4#910
14,1101,14,1#525000|4#1050
15,1101,15,1#600000|4#1200
16,1101,16,1#680000|4#1360
17,1101,17,1#765000|4#1530
18,1101,18,1#855000|4#1710
19,1101,19,1#950000|4#1900
20,1101,20,1#1050000|4#2100
21,1101,21,1#1155000|4#2310
22,1101,22,1#1265000|4#2530
23,1101,23,1#1380000|4#2760
24,1101,24,1#1500000|4#3000
25,1101,25,1#1625000|4#3250
26,1101,26,1#1755000|4#3510
27,1101,27,1#1890000|4#3780
28,1101,28,1#2030000|4#4060
29,1101,29,1#2175000|4#4350
30,1101,30,1#2325000|4#4650
31,1101,31,1#2480000|4#4960
32,1101,32,1#2640000|4#5280
33,1101,33,1#2805000|4#5610
34,1101,34,1#2975000|4#5950
35,1101,35,1#3150000|4#6300
36,1101,36,1#3330000|4#6660
37,1101,37,1#3515000|4#7030
38,1101,38,1#3705000|4#7410
39,1101,39,1#3900000|4#7800
40,1101,40,1#4100000|4#8200
41,1101,41,1#4305000|4#8610
42,1101,42,1#4515000|4#9030
43,1101,43,1#4730000|4#9460
44,1101,44,1#4950000|4#9900
45,1101,45,1#5175000|4#10350
46,1101,46,1#5405000|4#10810
47,1101,47,1#5640000|4#11280
48,1101,48,1#5880000|4#11760
49,1101,49,1#6125000|4#12250
50,1101,50,1#6375000|4#12750
51,1101,51,1#6630000|4#13260
52,1101,52,1#6890000|4#13780
53,1101,53,1#7155000|4#14310
54,1101,54,1#7425000|4#14850
55,1101,55,1#7700000|4#15400
56,1101,56,1#7980000|4#15960
57,1101,57,1#8265000|4#16530
58,1101,58,1#8555000|4#17110
59,1101,59,1#8850000|4#17700
60,1101,60,1#9150000|4#18300
61,1201,1,1#30000|4#50
62,1201,2,1#66000|4#112
63,1201,3,1#108000|4#186
64,1201,4,1#156000|4#272
65,1201,5,1#210000|4#370
66,1201,6,1#270000|4#480
67,1201,7,1#336000|4#602
68,1201,8,1#408000|4#736
69,1201,9,1#486000|4#882
70,1201,10,1#570000|4#1040
71,1201,11,1#660000|4#1210
72,1201,12,1#756000|4#1392
73,1201,13,1#858000|4#1586
74,1201,14,1#966000|4#1792
75,1201,15,1#1080000|4#2010
76,1201,16,1#1200000|4#2240
77,1201,17,1#1326000|4#2482
78,1201,18,1#1458000|4#2736
79,1201,19,1#1596000|4#3002
80,1201,20,1#1740000|4#3280
81,1201,21,1#1890000|4#3570
82,1201,22,1#2046000|4#3872
83,1201,23,1#2208000|4#4186
84,1201,24,1#2376000|4#4512
85,1201,25,1#2550000|4#4850
86,1201,26,1#2730000|4#5200
87,1201,27,1#2916000|4#5562
88,1201,28,1#3108000|4#5936
89,1201,29,1#3306000|4#6322
90,1201,30,1#3510000|4#6720
91,1201,31,1#3720000|4#7130
92,1201,32,1#3936000|4#7552
93,1201,33,1#4158000|4#7986
94,1201,34,1#4386000|4#8432
95,1201,35,1#4620000|4#8890
96,1201,36,1#4860000|4#9360
97,1201,37,1#5106000|4#9842
98,1201,38,1#5358000|4#10336
99,1201,39,1#5616000|4#10842
100,1201,40,1#5880000|4#11360
101,1201,41,1#6150000|4#11890
102,1201,42,1#6426000|4#12432
103,1201,43,1#6708000|4#12986
104,1201,44,1#6996000|4#13552
105,1201,45,1#7290000|4#14130
106,1201,46,1#7590000|4#14720
107,1201,47,1#7896000|4#15322
108,1201,48,1#8208000|4#15936
109,1201,49,1#8526000|4#16562
110,1201,50,1#8850000|4#17200
111,1301,1,1#60000|4#100
112,1301,2,1#127500|4#214
113,1301,3,1#202500|4#342
114,1301,4,1#285000|4#484
115,1301,5,1#375000|4#640
116,1301,6,1#472500|4#810
117,1301,7,1#577500|4#994
118,1301,8,1#690000|4#1192
119,1301,9,1#810000|4#1404
120,1301,10,1#937500|4#1630
121,1301,11,1#1072500|4#1870
122,1301,12,1#1215000|4#2124
123,1301,13,1#1365000|4#2392
124,1301,14,1#1522500|4#2674
125,1301,15,1#1687500|4#2970
126,1301,16,1#1860000|4#3280
127,1301,17,1#2040000|4#3604
128,1301,18,1#2227500|4#3942
129,1301,19,1#2422500|4#4294
130,1301,20,1#2625000|4#4660
131,1301,21,1#2835000|4#5040
132,1301,22,1#3052500|4#5434
133,1301,23,1#3277500|4#5842
134,1301,24,1#3510000|4#6264
135,1301,25,1#3750000|4#6700
136,1301,26,1#3997500|4#7150
137,1301,27,1#4252500|4#7614
138,1301,28,1#4515000|4#8092
139,1301,29,1#4785000|4#8584
140,1301,30,1#5062500|4#9090
141,1301,31,1#5347500|4#9610
142,1301,32,1#5640000|4#10144
143,1301,33,1#5940000|4#10692
144,1301,34,1#6247500|4#11254
145,1301,35,1#6562500|4#11830
146,1301,36,1#6885000|4#12420
147,1301,37,1#7215000|4#13024
148,1301,38,1#7552500|4#13642
149,1301,39,1#7897500|4#14274
150,1301,40,1#8250000|4#14920
151,1401,1,1#100000|4#160
152,1401,2,1#210000|4#338
153,1401,3,1#330000|4#534
154,1401,4,1#460000|4#748
155,1401,5,1#600000|4#980
156,1401,6,1#750000|4#1230
157,1401,7,1#910000|4#1498
158,1401,8,1#1080000|4#1784
159,1401,9,1#1260000|4#2088
160,1401,10,1#1450000|4#2410
161,1401,11,1#1650000|4#2750
162,1401,12,1#1860000|4#3108
163,1401,13,1#2080000|4#3484
164,1401,14,1#2310000|4#3878
165,1401,15,1#2550000|4#4290
166,1401,16,1#2800000|4#4720
167,1401,17,1#3060000|4#5168
168,1401,18,1#3330000|4#5634
169,1401,19,1#3610000|4#6118
170,1401,20,1#3900000|4#6620
171,1401,21,1#4200000|4#7140
172,1401,22,1#4510000|4#7678
173,1401,23,1#4830000|4#8234
174,1401,24,1#5160000|4#8808
175,1401,25,1#5500000|4#9400
176,1401,26,1#5850000|4#10010
177,1401,27,1#6210000|4#10638
178,1401,28,1#6580000|4#11284
179,1401,29,1#6960000|4#11948
180,1401,30,1#7350000|4#12630
181,1501,1,1#150000|4#240
182,1501,2,1#320000|4#510
183,1501,3,1#510000|4#810
184,1501,4,1#720000|4#1140
185,1501,5,1#950000|4#1500
186,1501,6,1#1200000|4#1890
187,1501,7,1#1470000|4#2310
188,1501,8,1#1760000|4#2760
189,1501,9,1#2070000|4#3240
190,1501,10,1#2400000|4#3750
191,1501,11,1#2750000|4#4290
192,1501,12,1#3120000|4#4860
193,1501,13,1#3510000|4#5460
194,1501,14,1#3920000|4#6090
195,1501,15,1#4350000|4#6750
196,1501,16,1#4800000|4#7440
197,1501,17,1#5270000|4#8160
198,1501,18,1#5760000|4#8910
199,1501,19,1#6270000|4#9690
200,1501,20,1#6800000|4#10500
201,1601,1,1#200000|4#800
202,1601,2,1#430000|4#1700
203,1601,3,1#690000|4#2700
204,1601,4,1#980000|4#3800
205,1601,5,1#1300000|4#5000
206,1601,6,1#1650000|4#6300
207,1601,7,1#2030000|4#7700
208,1601,8,1#2440000|4#9200
209,1601,9,1#2880000|4#10800
210,1601,10,1#3350000|4#12500
211,1601,11,1#3850000|4#14300
212,1601,12,1#4380000|4#16200
213,1601,13,1#4940000|4#18200
214,1601,14,1#5530000|4#20300
215,1601,15,1#6150000|4#22500
216,1601,16,1#6800000|4#24800
217,1601,17,1#7480000|4#27200
218,1601,18,1#8190000|4#29700
219,1601,19,1#8930000|4#32300
220,1601,20,1#9700000|4#35000
221,2101,1,1#5000|4#10
222,2101,2,1#15000|4#30
223,2101,3,1#30000|4#60
224,2101,4,1#50000|4#100
225,2101,5,1#75000|4#150
226,2101,6,1#105000|4#210
227,2101,7,1#140000|4#280
228,2101,8,1#180000|4#360
229,2101,9,1#225000|4#450
230,2101,10,1#275000|4#550
231,2101,11,1#330000|4#660
232,2101,12,1#390000|4#780
233,2101,13,1#455000|4#910
234,2101,14,1#525000|4#1050
235,2101,15,1#600000|4#1200
236,2101,16,1#680000|4#1360
237,2101,17,1#765000|4#1530
238,2101,18,1#855000|4#1710
239,2101,19,1#950000|4#1900
240,2101,20,1#1050000|4#2100
241,2101,21,1#1155000|4#2310
242,2101,22,1#1265000|4#2530
243,2101,23,1#1380000|4#2760
244,2101,24,1#1500000|4#3000
245,2101,25,1#1625000|4#3250
246,2101,26,1#1755000|4#3510
247,2101,27,1#1890000|4#3780
248,2101,28,1#2030000|4#4060
249,2101,29,1#2175000|4#4350
250,2101,30,1#2325000|4#4650
251,2101,31,1#2480000|4#4960
252,2101,32,1#2640000|4#5280
253,2101,33,1#2805000|4#5610
254,2101,34,1#2975000|4#5950
255,2101,35,1#3150000|4#6300
256,2101,36,1#3330000|4#6660
257,2101,37,1#3515000|4#7030
258,2101,38,1#3705000|4#7410
259,2101,39,1#3900000|4#7800
260,2101,40,1#4100000|4#8200
261,2101,41,1#4305000|4#8610
262,2101,42,1#4515000|4#9030
263,2101,43,1#4730000|4#9460
264,2101,44,1#4950000|4#9900
265,2101,45,1#5175000|4#10350
266,2101,46,1#5405000|4#10810
267,2101,47,1#5640000|4#11280
268,2101,48,1#5880000|4#11760
269,2101,49,1#6125000|4#12250
270,2101,50,1#6375000|4#12750
271,2101,51,1#6630000|4#13260
272,2101,52,1#6890000|4#13780
273,2101,53,1#7155000|4#14310
274,2101,54,1#7425000|4#14850
275,2101,55,1#7700000|4#15400
276,2101,56,1#7980000|4#15960
277,2101,57,1#8265000|4#16530
278,2101,58,1#8555000|4#17110
279,2101,59,1#8850000|4#17700
280,2101,60,1#9150000|4#18300
281,2201,1,1#30000|4#50
282,2201,2,1#66000|4#112
283,2201,3,1#108000|4#186
284,2201,4,1#156000|4#272
285,2201,5,1#210000|4#370
286,2201,6,1#270000|4#480
287,2201,7,1#336000|4#602
288,2201,8,1#408000|4#736
289,2201,9,1#486000|4#882
290,2201,10,1#570000|4#1040
291,2201,11,1#660000|4#1210
292,2201,12,1#756000|4#1392
293,2201,13,1#858000|4#1586
294,2201,14,1#966000|4#1792
295,2201,15,1#1080000|4#2010
296,2201,16,1#1200000|4#2240
297,2201,17,1#1326000|4#2482
298,2201,18,1#1458000|4#2736
299,2201,19,1#1596000|4#3002
300,2201,20,1#1740000|4#3280
301,2201,21,1#1890000|4#3570
302,2201,22,1#2046000|4#3872
303,2201,23,1#2208000|4#4186
304,2201,24,1#2376000|4#4512
305,2201,25,1#2550000|4#4850
306,2201,26,1#2730000|4#5200
307,2201,27,1#2916000|4#5562
308,2201,28,1#3108000|4#5936
309,2201,29,1#3306000|4#6322
310,2201,30,1#3510000|4#6720
311,2201,31,1#3720000|4#7130
312,2201,32,1#3936000|4#7552
313,2201,33,1#4158000|4#7986
314,2201,34,1#4386000|4#8432
315,2201,35,1#4620000|4#8890
316,2201,36,1#4860000|4#9360
317,2201,37,1#5106000|4#9842
318,2201,38,1#5358000|4#10336
319,2201,39,1#5616000|4#10842
320,2201,40,1#5880000|4#11360
321,2201,41,1#6150000|4#11890
322,2201,42,1#6426000|4#12432
323,2201,43,1#6708000|4#12986
324,2201,44,1#6996000|4#13552
325,2201,45,1#7290000|4#14130
326,2201,46,1#7590000|4#14720
327,2201,47,1#7896000|4#15322
328,2201,48,1#8208000|4#15936
329,2201,49,1#8526000|4#16562
330,2201,50,1#8850000|4#17200
331,2301,1,1#60000|4#100
332,2301,2,1#127500|4#214
333,2301,3,1#202500|4#342
334,2301,4,1#285000|4#484
335,2301,5,1#375000|4#640
336,2301,6,1#472500|4#810
337,2301,7,1#577500|4#994
338,2301,8,1#690000|4#1192
339,2301,9,1#810000|4#1404
340,2301,10,1#937500|4#1630
341,2301,11,1#1072500|4#1870
342,2301,12,1#1215000|4#2124
343,2301,13,1#1365000|4#2392
344,2301,14,1#1522500|4#2674
345,2301,15,1#1687500|4#2970
346,2301,16,1#1860000|4#3280
347,2301,17,1#2040000|4#3604
348,2301,18,1#2227500|4#3942
349,2301,19,1#2422500|4#4294
350,2301,20,1#2625000|4#4660
351,2301,21,1#2835000|4#5040
352,2301,22,1#3052500|4#5434
353,2301,23,1#3277500|4#5842
354,2301,24,1#3510000|4#6264
355,2301,25,1#3750000|4#6700
356,2301,26,1#3997500|4#7150
357,2301,27,1#4252500|4#7614
358,2301,28,1#4515000|4#8092
359,2301,29,1#4785000|4#8584
360,2301,30,1#5062500|4#9090
361,2301,31,1#5347500|4#9610
362,2301,32,1#5640000|4#10144
363,2301,33,1#5940000|4#10692
364,2301,34,1#6247500|4#11254
365,2301,35,1#6562500|4#11830
366,2301,36,1#6885000|4#12420
367,2301,37,1#7215000|4#13024
368,2301,38,1#7552500|4#13642
