id,weight,lv,type,search_dropbox_id,battle_id,battle_dropbox_ids,final_award,kill_award,coefficient,hp,monster_hp
1,3500,1|40,1,,500000,600001|600001|600001,2#40,2#20,1000,4280710,2703840|375430|450539|413008|337893
2,3000,41|60,1,,500001,600002|600002|600002,2#80,2#30,800,8071030,3314806|2594307|2161917
3,2750,61|90,1,,500002,600003|600003|600003,2#160,2#50,560,9077127,4516860|4560267
4,2500,91|110,1,,500003,600004|600004|600004,2#320,2#80,300,73489028,73489028
5,2500,111|130,1,,500004,600004|600004|600004,2#320,2#80,300,183406733,183406733
6,2500,131|145,1,,500005,600004|600004|600004,2#320,2#80,300,301406521,301406521
7,2500,146|180,1,,500006,600004|600004|600004,2#320,2#80,220,400416886,400416887
8,2500,181|999,1,,500006,600004|600004|600004,2#320,2#80,220,400416887,400416887
9,8000,1|50,2,600011,,,,,,,
10,6000,1|999,2,600012,,,,,,,
11,5000,50|999,2,600013,,,,,,,
12,4000,70|999,2,600014,,,,,,,
13,2000,90|999,2,600015,,,,,,,
