id,next_id,monster1_avater,monster1_misc,monster1_skill,monster1_skill_id,monster1_battle_id,monster1_hp,monster1_xy,monster2_avater,monster2_misc,monster2_skill,monster2_skill_id,monster2_battle_id,monster2_hp,monster2_xy,monster3_avater,monster3_misc,monster3_skill,monster3_skill_id,monster3_battle_id,monster3_hp,monster3_xy
1,2,partner_avatar_1000016,31001,31002|31003,100001504,900301,666666,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007,100001601|100001602|100001603,900101,495318,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007,100001601|100001602|100001603,900201,495318,533|105
2,3,partner_avatar_1000016,31001,31002|31003,100001504,900302,1055305,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007,100001601|100001602|100001603,900102,658487,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007,100001601|100001602|100001603,900202,658487,533|105
3,4,partner_avatar_1000016,31001,31002|31003,100001504,900303,2047325,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007,100001601|100001602|100001603,900103,749256,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007,100001601|100001602|100001603,900203,749256,533|105
4,5,partner_avatar_1000016,31001,31002|31003#31004|31005,100001504|100001501,900304,2464147,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900104,877010,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900204,877010,533|105
5,6,partner_avatar_1000016,31001,31002|31003#31004|31005,100001504|100001501,900305,3115608,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900105,1089577,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900205,1089577,533|105
6,7,partner_avatar_1000016,31001,31002|31003#31004|31005,100001504|100001501,900306,4228385,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900106,1203694,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900206,1224555,533|105
7,8,partner_avatar_1000016,31001,31002|31003#31004|31005,100001504|100001501,900307,4423543,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900107,1381257,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900207,1564794,533|105
8,9,partner_avatar_1000016,31001,31002|31003#31004|31005,100001504|100001501,900308,5688293,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900108,1893508,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900208,1649204,533|105
9,10,partner_avatar_1000016,31001,31002|31003#31004|31005,100001504|100001501,900309,8921001,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900109,2367134,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900209,2162506,533|105
10,11,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007,100001504|100001501|100001502,900310,10329177,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900110,2193874,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900210,2200686,533|105
