id,type,random_battle,award_weight,dropbox_id,drug,trader,map_source,map_scale,map_position
1,1,1,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
2,1,1,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
3,1,1,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
4,1,1,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
5,1,1,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
6,1,1,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
7,1,1,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
8,1,1,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
9,1,1,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
10,1,1,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
11,1,2,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
12,1,2,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
13,1,2,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
14,1,2,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
15,1,2,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
16,1,2,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
17,1,2,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
18,1,2,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
19,1,2,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
20,1,2,550|300|150,300001,1,1,battle_map_11_1,1.5,0|310
21,1,3,550|300|150,300001,1,1,battle_map_26_1,1.5,0|310
22,1,3,550|300|150,300001,1,1,battle_map_26_1,1.5,0|310
23,1,3,550|300|150,300001,1,1,battle_map_26_1,1.5,0|310
24,1,3,550|300|150,300001,1,1,battle_map_26_1,1.5,0|310
25,1,3,550|300|150,300001,1,1,battle_map_26_1,1.5,0|310
26,1,3,550|300|150,300001,1,1,battle_map_26_1,1.5,0|310
27,1,3,550|300|150,300001,1,1,battle_map_26_1,1.5,0|310
28,1,3,550|300|150,300001,1,1,battle_map_26_1,1.5,0|310
29,1,3,550|300|150,300001,1,1,battle_map_26_1,1.5,0|310
30,1,3,550|300|150,300001,1,1,battle_map_26_1,1.5,0|310
31,1,3,550|300|150,300001,1,1,battle_map_26_1,1.5,0|310
32,1,3,550|300|150,300001,1,1,battle_map_26_1,1.5,0|310
33,1,3,550|300|150,300001,1,1,battle_map_26_1,1.5,0|310
34,1,3,550|300|150,300001,1,1,battle_map_26_1,1.5,0|310
35,1,3,550|300|150,300001,1,1,battle_map_26_1,1.5,0|310
36,1,4,550|300|150,300002,1,1,battle_map_4_1,1.6,0|370
37,1,4,550|300|150,300002,1,1,battle_map_4_1,1.6,0|370
38,1,4,550|300|150,300002,1,1,battle_map_4_1,1.6,0|370
39,1,4,550|300|150,300002,1,1,battle_map_4_1,1.6,0|370
40,1,4,550|300|150,300002,1,1,battle_map_4_1,1.6,0|370
41,1,4,550|300|150,300002,1,1,battle_map_4_1,1.6,0|370
42,1,4,550|300|150,300002,1,1,battle_map_4_1,1.6,0|370
43,1,4,550|300|150,300002,1,1,battle_map_4_1,1.6,0|370
44,1,4,550|300|150,300002,1,1,battle_map_4_1,1.6,0|370
45,1,4,550|300|150,300002,1,1,battle_map_4_1,1.6,0|370
46,1,4,550|300|150,300002,1,1,battle_map_4_1,1.6,0|370
47,1,4,550|300|150,300002,1,1,battle_map_4_1,1.6,0|370
48,1,4,550|300|150,300002,1,1,battle_map_4_1,1.6,0|370
49,1,4,550|300|150,300002,1,1,battle_map_4_1,1.6,0|370
50,1,4,550|300|150,300002,1,1,battle_map_4_1,1.6,0|370
51,1,5,550|300|150,300002,1,1,battle_map_14_1,1.7,0|450
52,1,5,550|300|150,300002,1,1,battle_map_14_1,1.7,0|450
53,1,5,550|300|150,300002,1,1,battle_map_14_1,1.7,0|450
54,1,5,550|300|150,300002,1,1,battle_map_14_1,1.7,0|450
55,1,5,550|300|150,300002,1,1,battle_map_14_1,1.7,0|450
56,1,5,550|300|150,300002,1,1,battle_map_14_1,1.7,0|450
57,1,5,550|300|150,300002,1,1,battle_map_14_1,1.7,0|450
58,1,5,550|300|150,300002,1,1,battle_map_14_1,1.7,0|450
59,1,5,550|300|150,300002,1,1,battle_map_14_1,1.7,0|450
60,1,5,550|300|150,300002,1,1,battle_map_14_1,1.7,0|450
61,1,5,550|300|150,300002,1,1,battle_map_14_1,1.7,0|450
62,1,5,550|300|150,300002,1,1,battle_map_14_1,1.7,0|450
63,1,5,550|300|150,300002,1,1,battle_map_14_1,1.7,0|450
64,1,5,550|300|150,300002,1,1,battle_map_14_1,1.7,0|450
65,1,5,550|300|150,300002,1,1,battle_map_14_1,1.7,0|450
66,1,6,550|300|150,300003,1,1,battle_map_14_1,1.7,0|450
67,1,6,550|300|150,300003,1,1,battle_map_14_1,1.7,0|450
68,1,6,550|300|150,300003,1,1,battle_map_14_1,1.7,0|450
69,1,6,550|300|150,300003,1,1,battle_map_14_1,1.7,0|450
70,1,6,550|300|150,300003,1,1,battle_map_14_1,1.7,0|450
71,1,6,550|300|150,300003,1,1,battle_map_14_1,1.7,0|450
72,1,6,550|300|150,300003,1,1,battle_map_14_1,1.7,0|450
73,1,6,550|300|150,300003,1,1,battle_map_14_1,1.7,0|450
74,1,6,550|300|150,300003,1,1,battle_map_14_1,1.7,0|450
75,1,6,550|300|150,300003,1,1,battle_map_14_1,1.7,0|450
76,1,6,550|300|150,300003,1,1,battle_map_14_1,1.7,0|450
77,1,6,550|300|150,300003,1,1,battle_map_14_1,1.7,0|450
78,1,6,550|300|150,300003,1,1,battle_map_14_1,1.7,0|450
79,1,6,550|300|150,300003,1,1,battle_map_14_1,1.7,0|450
80,1,6,550|300|150,300003,1,1,battle_map_14_1,1.7,0|450
81,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
82,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
83,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
84,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
85,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
86,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
87,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
88,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
89,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
90,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
91,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
92,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
93,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
94,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
95,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
96,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
97,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
98,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
99,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
100,1,7,550|300|150,300003,1,1,battle_map_25_1,1.8,0|510
101,2,8,600|250|150,300004,1,1,battle_map_24_1,1.8,0|510
102,2,8,600|250|150,300004,1,1,battle_map_24_1,1.8,0|510
103,2,8,600|250|150,300004,1,1,battle_map_24_1,1.8,0|510
104,2,8,600|250|150,300004,1,1,battle_map_24_1,1.8,0|510
105,2,8,600|250|150,300004,1,1,battle_map_24_1,1.8,0|510
106,2,8,600|250|150,300004,1,1,battle_map_24_1,1.8,0|510
107,2,8,600|250|150,300004,1,1,battle_map_24_1,1.8,0|510
108,2,8,600|250|150,300004,1,1,battle_map_24_1,1.8,0|510
109,2,8,600|250|150,300004,1,1,battle_map_24_1,1.8,0|510
