id,name,lvlup_id,grade,is_freebuy,box_id
20001,-1,22001,2,,101|102|103|104
20002,-1,22002,2,,101|102|103|104
20003,-1,22003,2,,101|102|103|104
20004,-1,22004,2,,101|102|103|104
20005,-1,22005,2,,101|102|103|104
20006,-1,22006,2,,101|102|103|104
20007,-1,22007,2,,101|102|103|104
20008,-1,22008,2,,101|102|103|104
20009,-1,22009,2,,101|102|103|104
20010,-1,22010,2,,101|102|103|104
20011,-1,22011,2,,101|102|103|104
20012,-1,22012,2,,101|102|103|104
20013,-1,22013,2,,101|102|103|104
20014,-1,22014,2,,101|102|103|104
20015,-1,22015,2,,101|102|103|104
20016,-1,22016,2,,101|102|103|104
20017,-1,22017,3,1,101|102|103|104
20018,-1,22018,3,1,101|102|103|104
20019,-1,22019,2,,101|102|103|104
20020,-1,22020,3,1,101|102|103|104
20021,-1,22021,2,,101|102|103|104
20022,-1,22022,2,,101|102|103|104
20023,-1,22023,2,,101|102|103|104
20024,-1,22024,2,,101|102|103|104
20025,-1,22025,2,,101|102|103|104
20026,-1,22026,2,,101|102|103|104
20027,-1,22027,2,,101|102|103|104
20028,-1,22028,2,,101|102|103|104
20029,-1,22029,2,,101|102|103|104
20030,-1,22030,3,1,101|102|103|104
20031,-1,22031,2,,101|102|103|104
20032,-1,22032,2,,101|102|103|104
20033,-1,22033,2,,101|102|103|104
20034,-1,22034,2,,101|102|103|104
20035,-1,22035,2,,101|102|103|104
20036,-1,22036,2,,101|102|103|104
20037,-1,22037,2,,101|102|103|104
20038,-1,22038,2,,101|102|103|104
20039,-1,22039,3,1,101|102|103|104
20040,-1,22040,2,,101|102|103|104
20041,-1,22041,2,,101|102|103|104
20042,-1,22042,3,1,101|102|103|104
20043,-1,22043,3,1,101|102|103|104
20044,-1,22044,2,,101|102|103|104
20045,-1,22045,2,,101|102|103|104
20046,-1,22046,3,1,101|102|103|104
20047,-1,22047,3,1,101|102|103|104
20048,-1,22048,1,,101|103
20049,-1,22049,1,,101|103
20050,-1,22050,1,,101|103
20051,-1,22051,1,,101|103
20052,-1,22052,1,,101|103
20053,-1,22053,1,,101|103
20054,-1,22054,1,,101|103
20055,-1,22055,1,,101|103
20056,-1,22056,1,,101|103
20057,-1,22057,1,,101|103
20058,-1,22058,1,,101|103
20059,-1,22059,1,,101|103
20060,-1,22060,1,,101|103
20061,-1,22061,1,,101|103
20062,-1,22062,2,,101|102|103|104
20063,-1,22063,2,,101|102|103|104
20064,-1,22064,3,1,101|102|103|104
20065,-1,22065,3,1,101|102|103|104
20066,-1,22066,3,1,101|102|103|104
20067,-1,22067,3,1,101|102|103|104
20068,-1,22068,3,1,101|102|103|104
20069,-1,22069,3,1,101|102|103|104
20070,-1,22070,3,1,101|102|103|104
20071,-1,22071,3,1,101|102|103|104
20072,-1,22072,3,1,101|102|103|104
20073,-1,22073,4,1,101|102|103|104
20074,-1,22074,4,1,101|102|103|104
20075,-1,22075,3,1,101|102|103|104
20076,-1,22076,3,1,101|102|103|104
20077,-1,22077,3,1,103|104
20078,-1,22078,4,1,103|104
20079,-1,22079,4,1,103|104
20080,-1,22080,4,1,103|104
20081,-1,22081,3,1,103|104
20082,-1,22082,4,1,103|104
20083,-1,22083,3,1,103|104
20084,-1,22084,3,1,103|104
20085,-1,22085,3,1,103|104
20086,-1,22086,3,1,103|104
