id,name,brief,desc,name1,type,type_config,qlt,group,is_economy,stack_limit,level,icon,light_effect,gift_id,is_auto_open,equip,pub_scroll_type,partner_cost,treasure_cost,get_ways,go_window,getway_item,dropbox_show,is_sell,sell_price,summon_id,show_in_bag,show_bag_type,filter_type,show_in_forge,skin_id,collection_id,para,avatar_frame_effect,effect_mask,dress_id
3200637,-1,-1,-1,,31,,2,,0,,1,icon_dress_1010701,,,,,,,,,,,,,,,0,,,,,,,,,101107
3200643,-1,-1,-1,,31,,2,,0,,1,icon_dress_1010801,,,,,,,,,,,,,,,0,,,,,,,,,101108
3200649,-1,-1,-1,,31,,2,,0,,1,icon_dress_1010901,,,,,,,,,,,,,,,0,,,,,,,,,101109
3200655,-1,-1,-1,,31,,2,,0,,1,icon_dress_1011001,,,,,,,,,,,,,,,0,,,,,,,,,101110
3200661,-1,-1,-1,,31,,4,,0,,1,icon_dress_1011101,,,,,,,,,,,,,,,0,,,,,,,,,101111
3200667,-1,-1,-1,,31,,4,,0,,1,icon_dress_1011201,,,,,,,,,,,,,,,0,,,,,,,,,101112
3200673,-1,-1,-1,,31,,4,,0,,1,icon_dress_1011301,,,,,,,,,,,,,,,0,,,,,,,,,101113
3200679,-1,-1,-1,,31,,4,,0,,1,icon_dress_1011401,,,,,,,,,,,,,,,0,,,,,,,,,101114
3200685,-1,-1,-1,,31,,4,,0,,1,icon_dress_1011501,,,,,,,,,,,,,,,0,,,,,,,,,101115
3200691,-1,-1,-1,,31,,5,,0,,1,icon_dress_1011601,,,,,,,,,,,,,,,0,,,,,,,,,101116
3200697,-1,-1,-1,,31,,5,,0,,1,icon_dress_1011701,,,,,,,,,,,,,,,0,,,,,,,,,101117
3200703,-1,-1,-1,,31,,5,,0,,1,icon_dress_1011801,,,,,,,,,,,,,,,0,,,,,,,,,101118
3200709,-1,-1,-1,,31,,5,,0,,1,icon_dress_1011901,,,,,,,,,,,,,,,0,,,,,,,,,101119
3200715,-1,-1,-1,,31,,5,,0,,1,icon_dress_1012001,,,,,,,,,,,,,,,0,,,,,,,,,101120
3200721,-1,-1,-1,,31,,3,,0,,1,icon_dress_1012101,,,,,,,,,,,,,,,0,,,,,,,,,101121
3200727,-1,-1,-1,,31,,3,,0,,1,icon_dress_1012201,,,,,,,,,,,,,,,0,,,,,,,,,101122
3200733,-1,-1,-1,,31,,3,,0,,1,icon_dress_1012301,,,,,,,,,,,,,,,0,,,,,,,,,101123
3200739,-1,-1,-1,,31,,3,,0,,1,icon_dress_1013401,,,,,,,,,,,,,,,0,,,,,,,,,101124
