id,name,partner_id,crystal,antique,equip_skill,potentials
1,-1,6,5754,6724,2,1|1|1|3|1
2,-1,1,5749,6448,3,2|2|2|2|3
3,-1,2,5752,6460,2,1|3|1|3|2
4,-1,3,5752,6466,3,3|3|1|1|2
5,-1,4,5762,6466,3,3|3|1|3|1
6,-1,5,5763,6490,3,3|3|3|3|2
7,-1,7,5766,6724,2,3|1|1|3|2
8,-1,8,5752,6472,1,1|1|3|1|2
9,-1,9,5759,6718,3,1|1|3|2|2
10,-1,10,5756,6448,3,1|2|1|1|1
11,-1,11,5762,6718,1,1|3|1|1|2
12,-1,12,5754,6730,1,3|1|1|3|2
13,-1,13,5754,6730,1,3|1|1|3|2
14,-1,14,5763,6478,2,3|1|1|3|2
15,-1,15,5750,6718,1,1|2|1|1|2
16,-1,16,5764,6478,3,3|3|1|3|2
17,-1,17,5759,6724,3,3|2|3|3|1
18,-1,18,5750,6724,2,1|1|1|2|3
19,-1,19,5754,6448,2,3|1|1|3|2
20,-1,20,5763,6730,2,3|2|2|3|2
21,-1,21,5750,6718,2,1|1|1|1|2
22,-1,22,5759,6436,2,3|1|1|3|2
23,-1,23,5757,6448,2,1|3|1|1|2
24,-1,24,5754,6730,3,3|3|1|3|2
25,-1,25,5749,6706,1,1|3|1|1|3
26,-1,26,5750,6724,2,1|1|1|2|2
27,-1,27,5759,6718,2,1|3|1|1|2
28,-1,28,5750,6454,1,3|3|1|3|2
29,-1,29,5768,6496,2,3|3|1|3|2
30,-1,30,5757,6724,2,3|2|2|3|1
31,-1,31,5750,6718,2,1|3|1|1|2
32,-1,32,5763,6490,3,2|1|2|2|1
33,-1,33,5750,6706,2,2|2|2|2|2
34,-1,34,5764,6718,2,1|1|1|1|2
35,-1,35,5767,6730,3,3|2|2|3|2
36,-1,33,5768,6730,2,3|3|1|3|2
37,-1,31,5757,6730,2,3|1|1|3|1
38,-1,35,5750,6448,3,1|2|1|1|2
39,-1,31,5767,6448,2,3|3|1|3|1
