id,hp,avatar_id,partner_id
1,272090,13003,51011|51001|51009|41003|51007|31004|31003|31002|21002|11002|53011|24003|34001|54011|54009|45003
2,272090,14001,13003|14001|24004|34004|41001|41008|42001|42003|43004|44004|51008|52012|53001|53004|53007|54007|54008|54012
3,272090,14002,12002|14003|22002|23002|31005|32005|34001|43003|51006|52003|52004|52011|53005|53009|54001|54004
4,272090,14003,31004|51004|51007|51009|51003|52003|52011|52012|52005|42007|52008|52006|33005|43003|53003|53004|53007|53006|53002|53008|53005|34003|34004|44008|54001|54002|54008|54011|55005|55006|55007
5,272090,21001,12001|12002|12003|22001|22002|22003|22004|32001|32002|32003|32004|32005|42001|42002|42003|42004|42005|42006|42007|42008|52001|52002|52003|52004|52005|52006|52007|52008|52009|52010|52011|52012|52013
6,272090,21002,11001|11002|11003|21001|21002|21003|21004|31001|31002|31003|31004|31005|41001|41002|41003|41004|41005|41006|41007|41008|51001|51002|51003|51004|51005|51006|51007|51008|51009|51010|51011|51012
7,272090,21003,13001|13002|13003|23001|23002|23003|23004|33001|33002|33003|33004|33005|43001|43002|43003|43004|43005|43006|43007|43008|53001|53002|53003|53004|53005|53006|53007|53008|53009|53010|53011|53012|53013
8,272090,21004,14001|14002|14003|24001|24002|24003|24004|34001|34002|34003|34004|34005|44001|44002|44003|44004|44005|44006|44007|44008|54001|54002|54003|54004|54005|54006|54007|54008|54009|54010|54011|54012
9,272090,13003,54001|53010|54007|56003|52010|51005|52006|54003|53006|53001|12001|12003|22003|33002|13001|43001|33003|13002|33004|34002|24004|54011
10,209300,14001,54007|51010|51005|52006|52002|53003|53001|11001|11002|31005|41004|31002|12001|32004|22001|22002|42005|43005|33004|43008|34005|44004|44001|55003|45003|45002|36001|52012
11,209300,14002,13001|13002|13003|23001|23002|23003|23004|33001|33002|33003|33004|33005|43001|43002|43003|43004|43005|43006|43007|43008|53001|53002|53003|53004|53005|53006|53007|53008|53009|53010|53011|53012|53013
12,209300,14003,54001|53010|54007|56003|52010|51005|52006|54003|53006|53001|12001|12003|22003|33002|13001|43001|33003|13002|33004|34002|24004|54011
13,209300,21001,54007|51010|51005|52006|52002|53003|53001|11001|11002|31005|41004|31002|12001|32004|22001|22002|42005|43005|33004|43008|34005|44004|44001|55003|45003|45002|36001|52012
14,209300,21002,14001|14002|14003|24001|24002|24003|24004|34001|34002|34003|34004|34005|44001|44002|44003|44004|44005|44006|44007|44008|54001|54002|54003|54004|54005|54006|54007|54008|54009|54010|54011|54012
15,209300,21003,12002|14003|22002|23002|31005|32005|34001|43003|51006|52003|52004|52011|53005|53009|54001|54004
16,209300,21004,31004|51004|51007|51009|51003|52003|52011|52012|52005|42007|52008|52006|33005|43003|53003|53004|53007|53006|53002|53008|53005|34003|34004|44008|54001|54002|54008|54011|55005|55006|55007
17,209300,13003,11001|11002|11003|21001|21002|21003|21004|31001|31002|31003|31004|31005|41001|41002|41003|41004|41005|41006|41007|41008|51001|51002|51003|51004|51005|51006|51007|51008|51009|51010|51011|51012
18,272090,14001,51011|51001|51009|41003|51007|31004|31003|31002|21002|11002|53011|24003|34001|54011|54009|45003
