id,partner_link,skin,name,lv,grade,hp,atk,hpP,atkP,armP,spdP,energy_ex,miss,hit,crit,critTime,sklP,decDmg,free,brk,trueAtk,is_boss,lv_show,scale,is_player_use,skill,equip_6,exskill
1234202,42004,,-1,270,10,,,198,292,1,1,,600,900,0,0,0,0,900,0,0,0,270,,,,,
1234302,42005,,-1,280,10,,,200,295,1,1,,600,900,0,0,0,0,900,0,0,0,280,,,,,
1234402,42006,,-1,280,10,,,204,301,1,1,,600,900,0,0,0,0,900,0,0,0,280,,,,,
1234502,42007,,-1,280,10,,,208,307,1,1,,600,900,0,0,0,0,900,0,0,0,280,,,,,
1234602,42008,,-1,290,10,,,210,310,1,1,,600,1000,0,0,0,0,900,0,0,0,290,,,,,
1234702,42001,,-1,290,10,,,214,316,1,1,,600,1000,0,0,0,0,900,0,0,0,290,,,,,
1234802,42002,,-1,290,10,,,218,322,1,1,,600,1000,0,0,0,0,900,0,0,0,290,,,,,
1234902,42003,,-1,300,10,,,220,325,1,1,,600,1000,0,0,0,0,900,0,0,0,300,,,,,
1235002,42004,,-1,300,10,,,224,331,1,1,,600,1000,0,0,0,0,900,0,0,0,300,,,,,
1235102,42005,,-1,300,10,,,228,337,1,1,,600,1100,0,0,0,0,900,0,0,0,300,,,,,
1235202,42006,,-1,310,10,,,230,340,1,1,,600,1100,0,0,0,0,900,0,0,0,310,,,,,
1235302,42001,,-1,310,10,,,234,346,1,1,,600,1100,0,0,0,0,900,0,0,0,310,,,,,
1235402,42002,,-1,310,10,,,238,352,1,1,,600,1100,0,0,0,0,900,0,0,0,310,,,,,
1235502,42003,,-1,320,10,,,240,355,1,1,,600,1100,0,0,0,0,900,0,0,0,320,,,,,
1235602,42004,,-1,320,10,,,244,361,1,1,,600,1200,0,0,0,0,900,0,0,0,320,,,,,
1235702,42005,,-1,320,10,,,248,367,1,1,,600,1200,0,0,0,0,900,0,0,0,320,,,,,
1235802,42006,,-1,330,10,,,252,373,1,1,,600,1200,0,0,0,0,900,0,0,0,330,,,,,
1235902,42007,,-1,330,10,,,256,379,1,1,,600,1200,0,0,0,0,900,0,0,0,330,,,,,
1236002,42008,,-1,330,10,,,260,385,1,1,,600,1200,0,0,0,0,900,0,0,0,330,,,,,
1236102,32001,,-1,340,10,,,256.539314241,380.045382817,1,1,0,700,1300,0,0,0,0,1050,0,0,0,340,,,,,
1236202,32002,,-1,340,10,,,259.16676184,384.024200688,1,1,0,700,1300,0,0,0,0,1050,0,0,0,340,,,,,
1236302,32003,,-1,340,10,,,261.76023809,387.953878256,1,1,0,700,1300,0,0,0,0,1050,0,0,0,340,,,,,
1236402,32004,,-1,350,10,,,264.319742991,391.83441552,1,1,0,700,1300,0,0,0,0,1050,0,0,0,350,,,,,
1236502,32005,,-1,350,10,,,266.845276543,395.665812482,1,1,0,700,1300,0,0,0,0,1050,0,0,0,350,,,,,
1236602,32001,,-1,350,10,,,269.336838746,399.44806914,1,1,0,700,1400,0,0,0,0,1050,0,0,0,350,,,,,
1236702,32002,,-1,360,10,,,271.7944296,403.181185495,1,1,0,700,1400,0,0,0,0,1050,0,0,0,360,,,,,
1236802,32003,,-1,360,10,,,274.218049106,406.865161547,1,1,0,700,1400,0,0,0,0,1050,0,0,0,360,,,,,
1236902,32004,,-1,360,10,,,276.607697262,410.499997296,1,1,0,700,1400,0,0,0,0,1050,0,0,0,360,,,,,
1237002,32005,,-1,370,10,,,278.96337407,414.085692741,1,1,0,700,1400,0,0,0,0,1050,0,0,0,370,,,,,
1237102,32001,,-1,370,10,,,281.285079529,417.622247884,1,1,0,700,1500,0,0,0,0,1050,0,0,0,370,,,,,
1237202,32002,,-1,370,10,,,283.572813638,421.109662723,1,1,0,700,1500,0,0,0,0,1050,0,0,0,370,,,,,
1237302,32003,,-1,380,10,,,285.826576399,424.547937259,1,1,0,700,1500,0,0,0,0,1050,0,0,0,380,,,,,
1237402,32004,,-1,380,10,,,288.046367811,427.937071492,1,1,0,700,1500,0,0,0,0,1050,0,0,0,380,,,,,
1237502,32005,,-1,380,10,,,290.232187874,431.277065422,1,1,0,700,1500,0,0,0,0,1050,0,0,0,380,,,,,
1237602,32001,,-1,390,10,,,292.384036589,434.567919049,1,1,0,700,1600,0,0,0,0,1050,0,0,0,390,,,,,
1237702,32002,,-1,390,10,,,294.501913954,437.809632372,1,1,0,700,1600,0,0,0,0,1050,0,0,0,390,,,,,
1237802,32003,,-1,390,10,,,296.58581997,441.002205393,1,1,0,700,1600,0,0,0,0,1050,0,0,0,390,,,,,
1237902,32004,,-1,400,10,,,298.635754638,444.14563811,1,1,0,700,1600,0,0,0,0,1050,0,0,0,400,,,,,
1238002,32005,,-1,400,10,,,300.651717957,447.239930524,1,1,0,700,1600,0,0,0,0,1050,0,0,0,400,,,,,
1238102,32001,,-1,400,10,,,320,460,1,1,0,800,1700,0,0,0,100,1100,0,0,0,400,,,,,
1238202,32002,,-1,410,10,,,325,464,1,1,0,800,1700,0,0,0,100,1100,0,0,0,410,,,,,
1238302,32003,,-1,410,10,,,330,468,1,1,0,800,1700,0,0,0,100,1100,0,0,0,410,,,,,
1238402,32004,,-1,410,10,,,335,472,1,1,0,800,1700,0,0,0,100,1100,0,0,0,410,,,,,
1238502,32005,,-1,420,10,,,340,476,1,1,0,800,1700,0,0,0,100,1100,0,0,0,420,,,,,
1238602,32001,,-1,420,10,,,350,485,1,1,0,800,1700,0,0,0,100,1100,0,0,0,420,,,,,
1238702,32002,,-1,420,10,,,360,495,1,1,0,800,1700,0,0,0,100,1100,0,0,0,420,,,,,
1238802,32003,,-1,430,10,,,370,505,1,1,0,800,1700,0,0,0,100,1100,0,0,0,430,,,,,
1238902,32004,,-1,430,10,,,380,515,1,1,0,800,1700,0,0,0,100,1100,0,0,0,430,,,,,
1239002,32005,,-1,430,10,,,390,525,1,1,50,850,1900,0,0,0,200,1150,0,0,0,430,,,,,
1239102,32001,,-1,440,10,,,405,540,1,1,50,850,1900,0,0,0,200,1150,0,0,0,440,,,,,
1239202,32002,,-1,440,10,,,420,555,1,1,50,850,1900,0,0,0,200,1150,0,0,0,440,,,,,
