id,name,img,unit,style_unit,unlock_stars,skills,version
1,-1,icon_1,101001|101002|101003|101004,1000101|1000201|1000301|1000401|0,,,0
2,-1,icon_1,101005|101006|101007|101008|101009,1000501|1000601|1000701|1000801|1000901,5|10|15|20|25|30,1000701|1000702|1000703|1000704|1000705|1000706,0
3,-1,icon_1,101010|101011|101012|101013|101014,1001001|1001101|1001201|1001301|1001401,5|10|15|20|25|30,1000301|1000302|1000303|1000304|1000305|1000306,0
4,-1,icon_1,101015|101016|101017|101018|101019,1001501|1001601|1001701|1001801|1001901,5|10|15|20|25|30,1000601|1000602|1000603|1000604|1000605|1000606,0
5,-1,icon_1,101020|101021|101022|101023|101085,1002001|1002101|1002201|1002301|1008501,5|10|15|20|25|30,1001501|1001502|1001503|1001504|1001505|1001506,0
6,-1,icon_1,101024|101025|101026|101027|101028,1002401|1002501|1002601|1002701|1002801,5|10|15|20|25|30,1000101|1000102|1000103|1000104|1000105|1000106,0
7,-1,icon_1,101029|101030|101031|101032|101033,1002901|1003001|1003101|1003201|1003301,5|10|15|20,1001201|1001202|1001203|1001204,0
8,-1,icon_1,101034|101035|101036|101037|101038,1003401|1003501|1003601|1003701|1003801,5|10|15|20|25,1000901|1000902|1000903|1000904|1000905,0
9,-1,icon_1,101039|101040|101041|101042|101043,1003901|1004001|1004101|1004201|1004301,5|10|15,1000801|1000802|1000803,0
10,-1,icon_1,101045|101046|101047|101048|101049,1004501|1004601|1004701|1004801|1004901,5|10|15|20|25|30,1000201|1000202|1000203|1000204|1000205|1000206,0
11,-1,icon_1,101050|101051|101052|101053|101054,1005001|1005101|1005201|1005301|1005401,5|10|15|20|25|30,1000501|1000502|1000503|1000504|1000505|1000506,0
12,-1,icon_1,101055|101056|101057|101058|101059,1005501|1005601|1005701|1005801|1005901,5|10|15|20|25,1001001|1001002|1001003|1001004|1001005,0
13,-1,icon_1,101060|101061|101062|101063|101064,1006001|1006101|1006201|1006301|1006401,5|10|15|20|25,1001101|1001102|1001103|1001104|1001105,0
14,-1,icon_1,101065|101066|101067|101068|101069,1006501|1006601|1006701|1006801|1006901,5|10|15|20,1001301|1001302|1001303|1001304,0
15,-1,icon_1,101070|101071|101072|101073|101074,1007001|1007101|1007201|1007301|1007401,5|10|15|20,1001401|1001402|1001403|1001404,0
16,-1,icon_1,101075|101076|101077|101078|101079,1007501|1007601|1007701|1007801|1007901,5|10|15,1001601|1001602|1001603,0
17,-1,icon_1,101080|101081|101082|101083|101084,1008001|1008101|1008201|1008301|1008401,5|10|15|20|25|30,1000401|1000402|1000403|1000404|1000405|1000406,0
