id,complete_value,unlocking_time,awards
1,1|3,0,43#10|1#50000|9#50000
2,4|3,0,43#10|1#50000|9#50000
3,7|3,0,43#10|1#50000|9#50000
4,10|3,0,43#10|1#50000|9#50000
5,13|3,0,43#10|1#50000|9#50000
6,16|3,0,43#10|1#50000|9#50000
7,19|3,0,43#10|1#50000|9#50000
8,22|3,0,43#10|1#50000|9#50000
9,25|3,0,43#10|1#50000|9#50000
10,28|3,0,43#10|1#50000|9#50000
11,2|4,0,43#10|1#50000|9#50000
12,5|4,0,43#10|1#50000|9#50000
13,8|4,604800,43#10|1#50000|9#50000
14,11|4,604800,43#10|1#50000|9#50000
15,14|4,604800,43#10|1#50000|9#50000
16,17|4,604800,43#10|1#50000|9#50000
17,20|4,604800,43#10|1#50000|9#50000
18,23|4,604800,43#10|1#50000|9#50000
19,26|4,604800,43#10|1#50000|9#50000
20,29|4,604800,43#10|1#50000|9#50000
