id,partner,unknown_3,name,desc,is_exskill,sub_skill,trigger,is_pass,is_unseal,is_cost_energy,is_add_energy,target1,rand1,pre_effect,effect1,effect1_add,no_crit1,no_miss1,no_act1,fx1,fx_hurt1,fx_hurt1_add,target2,rand2,effect2,no_crit2,not_miss2,fx_hurt2,target3,rand3,effect3,no_crit3,not_miss3,fx_hurt3,attr_pas,jump,jump_pos_xy,icon_id,level,sound,shake_screen,hero_pos_type,hero_pos_type_xy,shake_screen_time,black_screen,animation,skill_effect,target_no_effect
5101511,-1,-1,-1,,,0,1,0,,,1,79,,,1359001|1034026,,,,,,,,14,,1360001,,,,,,,,,,,,,,,,,,,,,,,
5101512,-1,-1,-1,,,0,1,0,,,1,79,,,1359001|1034027,,,,,,,,14,,1360001,,,,,,,,,,,,,,,,,,,,,,,
5101513,-1,-1,-1,,,0,1,0,,,1,79,,,1359001|1034028,,,,,,,,14,,1360001,,,,,,,,,,,,,,,,,,,,,,,
5101502,-1,-1,-1,-1,,0,28,1,,,,1,,,1028499|1008193|1009232|1004137|1011144,,,,,,,,,,,,,,,,,,,,1,,,skill_icon_5101502,,,,,,,,,,
65102202,-1,-1,-1,-1,,0,28,1,,,,1,,,1028500|1008194|1009233|1004138|1011145,,,,,,,,,,,,,,,,,,,,1,,,skill_icon_5101502,2,,,,,,,,,
65102212,-1,-1,-1,-1,,0,28,1,,,,1,,,1028501|1008195|1009234|1004139|1011146,,,,,,,,,,,,,,,,,,,,1,,,skill_icon_5101502,3,,,,,,,,,
75101502,-1,-1,-1,-1,,0,28,1,,,,1,,,1028501|1008195|1009234|1004139|1011146,,,,,,,,,,,,,,,,,,,,1,,,skill_icon_5101502,3,,,,,,,,,
5101503,-1,-1,-1,-1,,5101505|5101506,53,1,,,,61,,,1361001,,,,,,,,65,,1361001,,,,,,,,,,,,,skill_icon_5101503,,,,,,,,,,
65102203,-1,-1,-1,-1,,65102205|65102206,53,1,,,,61,,,1361002,,,,,,,,65,,1361002,,,,,,,,,,,,,skill_icon_5101503,2,,,,,,,,,
65102213,-1,-1,-1,-1,,65102215|65102216,53,1,,,,61,,,1361003,,,,,,,,65,,1361003,,,,,,,,,,,,,skill_icon_5101503,3,,,,,,,,,
