id,next_id,fort_first,fort_id,type,skill_ids,initial_partner,box_id,grade_weight,battle_id,reward1,reward2,plot_id,memory_plot_id,chapter_icon,fort_img,is_activity,battle_target,battle_buff
1,2,1,13,3,,20070,101,400|500|100|0,801301,43#10,10,#4642,4642,hero_challenge_10,btn_h_challenge_13,,,
2,3,0,13,,,,101,400|500|100|0,801302,36#1,10,##4690,4690,hero_challenge_10,,,,
3,4,0,13,,,,101,300|600|100|0,801303,14#350,11,##4717,4717,hero_challenge_10,,,,
4,5,0,13,,,,101,300|600|99|1,801304,43#40,11,,,hero_challenge_17,,,,
5,6,0,13,,,,101,300|500|197|3,801305,29#1,12,##4755,4755,hero_challenge_17,,,,
6,7,0,13,,,,101,300|500|195|5,801306,10#500,12,,,hero_challenge_27,,,,
7,8,0,13,,,,101,250|550|193|7,801307,940026#30,13,#4783,4783,hero_challenge_27,,,,
8,9,0,13,,,,101,200|590|202|8,801308,20#1,14,#4808,4808,hero_challenge_27,,,,
9,10,0,13,,,,102,150|620|220|10,801309,940002#10,15,##4832,4832,hero_challenge_27,,,,
10,-1,0,13,,,,102,150|600|238|12,801310,9116#1,,##4880,4880,hero_challenge_14,,,,
11,12,1,14,3,,20041,103,400|500|100|0,801401,43#10,10,#4926#4941,4926|4941,hero_challenge_19,btn_h_challenge_14,,,
12,13,0,14,,,,103,400|500|100|0,801402,36#1,10,#4944#,4944,hero_challenge_28,,,,
13,14,0,14,,,,103,300|600|100|0,801403,14#350,11,#4970#,4970,hero_challenge_17,,,,
14,15,0,14,,,,103,300|600|99|1,801404,43#40,11,#4986#,4986,main_plot_img_32,,,,
15,16,0,14,,,,103,300|500|197|3,801405,29#1,12,#5032#,5032,main_plot_img_forest,,,,
16,17,0,14,,13601,,103,300|500|195|5,801406,10#500,12,#5059#,5059,hero_challenge_27,,,,
17,18,0,14,,13601|13801,,103,250|550|193|7,801407,940025#30,13,#5096#,5096,hero_challenge_22,,,,
18,19,0,14,,13601|13801|13901,,104,200|590|202|8,801408,20#1,14,#5126#5151,5126|5151,hero_challenge_5,,,,
19,20,0,14,,13602|13802|13902,,104,150|620|220|10,801409,940002#10,15,#5157#,5157,hero_challenge_7,,,,
20,-1,0,14,,13701|13802|14001,,104,150|600|238|12,801410,9121#1,,#5204#,5204,hero_challenge_3,,,,
21,22,1,15,3,,20084,105,400|500|100|0,801501,43#10,10,##5246,5246,hero_challenge_9,btn_h_challenge_15,,,
22,23,0,15,,,,105,400|500|100|0,801502,36#1,10,##5285,5285,hero_challenge_23,,,,
23,24,0,15,,,,105,300|600|100|0,801503,14#350,11,##5325,5325,hero_challenge_3,,,,
24,25,0,15,,,,106,300|600|99|1,801504,43#40,11,##5368,5368,hero_challenge_7,,,39,
25,26,0,15,,,,106,300|500|197|3,801505,29#1,12,##5407,5407,hero_challenge_7,,,35,
26,27,0,15,,,,106,300|500|195|5,801506,10#500,12,##5432,5432,hero_challenge_9,,,36,
27,28,0,15,,,,106,250|550|193|7,801507,940022#30,13,##5457,5457,hero_challenge_3,,,13,
28,29,0,15,,,,106,200|590|202|8,801508,20#1,14,##5488,5488,hero_challenge_3,,,37,
29,30,0,15,,,,106,150|620|220|10,801509,940002#10,15,##5522,5522,hero_challenge_2,,,38,
30,-1,0,15,,,,106,150|600|238|12,801510,9313#1,,##5549,5549,hero_challenge_17,,,,1|2|3|4|5|6
31,32,1,16,-1,,20095,105,400|500|100|0,801601,43#10,10,##5572,5572,hero_challenge_11,btn_h_challenge_16,,,
32,33,0,16,,,,105,400|500|100|0,801602,36#1,10,##5604,5604,hero_challenge_17,,,,
33,34,0,16,,,,105,300|600|100|0,801603,14#350,11,##5636,5636,hero_challenge_8,,,,
34,35,0,16,,,,106,300|600|99|1,801604,43#40,11,##5668,5668,hero_challenge_8,,,,
35,36,0,16,,,,106,300|500|197|3,801605,29#1,12,##5710,5710,hero_challenge_11,,,,
36,37,0,16,,,,106,300|500|195|5,801606,10#500,12,##5742,5742,hero_challenge_11,,,,
37,38,0,16,,,,106,250|550|193|7,801607,940022#30,13,##5772,5772,hero_challenge_8,,,,
38,39,0,16,,14101|14102,,106,200|590|202|8,801608,20#1,14,##5811,5811,hero_challenge_7,,,,
39,40,0,16,,14201,,106,150|620|220|10,801609,940002#10,15,##5844,5844,hero_challenge_11,,,,
40,-1,0,16,,14301,,106,150|600|238|12,801610,9313#1,,##5871,5871,hero_challenge_11,,,,
