id,time,type,desc,complete,awards,point,getway,attribution
1,1,1,-1,6,2#50|235#2,30,,
2,1,2,-1,1,2#10,10,,1
3,1,3,-1,3,35#1,10,4,1
4,1,4,-1,5,14#100,10,5,1
5,1,5,-1,1,9#100000,10,33,1
6,1,6,-1,2,1#100000,10,16,1
7,1,7,-1,500,10#100,20,2,1
8,2,1,-1,6,2#50|235#2,30,,
9,2,2,-1,1,2#10,10,,8
10,2,8,-1,1,24#2,10,3,8
11,2,9,-1,1,14#100,10,2,8
12,2,10,-1,6,9#100000,10,25,8
13,2,11,-1,15,1#100000,10,34,8
14,2,12,-1,3,10#100,20,38,8
15,3,1,-1,6,2#50|235#2,30,,
16,3,2,-1,1,2#10,10,,15
17,3,13,-1,5,35#1,10,6,15
18,3,4,-1,10,14#100,10,5,15
19,3,14,-1,50,9#100000,10,31,15
20,3,15,-1,10,1#100000,10,20,15
21,3,7,-1,1000,10#100,20,2,15
22,4,1,-1,6,2#50|235#2,30,,
23,4,2,-1,1,2#10,10,,22
24,4,16,-1,10,35#1,10,21,22
25,4,9,-1,2,14#100,10,2,22
26,4,10,-1,12,9#100000,10,25,22
27,4,17,-1,5,1#100000,10,39,22
28,4,12,-1,6,10#100,20,38,22
29,5,1,-1,6,2#50|235#2,30,,
30,5,2,-1,1,2#10,10,,29
31,5,3,-1,6,35#1,10,4,29
32,5,4,-1,15,14#100,10,5,29
33,5,5,-1,2,9#100000,10,33,29
34,5,6,-1,4,1#100000,10,16,29
35,5,7,-1,1500,10#100,20,2,29
36,6,1,-1,6,2#50|235#2,30,,
37,6,2,-1,1,2#10,10,,36
38,6,8,-1,2,24#2,10,3,36
39,6,9,-1,3,14#100,10,2,36
40,6,10,-1,18,9#100000,10,25,36
41,6,11,-1,30,1#100000,10,34,36
42,6,12,-1,9,10#100,20,38,36
43,7,1,-1,6,2#50|235#2,30,,
44,7,2,-1,1,2#10,10,,43
45,7,13,-1,10,35#1,10,6,43
46,7,4,-1,20,14#100,10,5,43
47,7,14,-1,100,9#100000,10,31,43
48,7,15,-1,20,1#100000,10,20,43
49,7,7,-1,2000,10#100,20,2,43
