id,name,dropbox_id,weight,item,cost
100427016,-1,100427,1000,2041#1,0#0
100427017,-1,100427,250,28#1,0#0
100428001,-1,100428,4146,0#0,0#0
100428002,-1,100428,12,3062#1,0#0
100428003,-1,100428,40,3052#1,0#0
100428004,-1,100428,1200,14#8#12,0#0
100428005,-1,100428,100,6021#1,0#0
100428006,-1,100428,100,6022#1,0#0
100428007,-1,100428,100,6023#1,0#0
100428008,-1,100428,100,6024#1,0#0
100428009,-1,100428,100,6025#1,0#0
100428010,-1,100428,30,956001#1,0#0
100428011,-1,100428,18,24#1,0#0
100428012,-1,100428,4,25#1,0#0
100428013,-1,100428,1500,26#5#10,0#0
100428014,-1,100428,500,27#1#5,0#0
100428015,-1,100428,800,10#1#5,0#0
100428016,-1,100428,1000,3041#1,0#0
100428017,-1,100428,250,28#1,0#0
100429001,-1,100429,4146,0#0,0#0
100429002,-1,100429,12,4062#1,0#0
100429003,-1,100429,40,4052#1,0#0
100429004,-1,100429,1200,14#8#12,0#0
100429005,-1,100429,100,6021#1,0#0
100429006,-1,100429,100,6022#1,0#0
100429007,-1,100429,100,6023#1,0#0
100429008,-1,100429,100,6024#1,0#0
100429009,-1,100429,100,6025#1,0#0
100429010,-1,100429,30,956001#1,0#0
100429011,-1,100429,18,24#1,0#0
100429012,-1,100429,4,25#1,0#0
100429013,-1,100429,1500,26#5#10,0#0
100429014,-1,100429,500,27#1#5,0#0
100429015,-1,100429,800,10#1#5,0#0
100429016,-1,100429,1000,4041#1,0#0
100429017,-1,100429,250,28#1,0#0
100430001,-1,100430,4086,0#0,0#0
100430002,-1,100430,60,940013#1,0#0
100430003,-1,100430,3,1062#1,0#0
100430004,-1,100430,3,2062#1,0#0
100430005,-1,100430,3,3062#1,0#0
100430006,-1,100430,3,4062#1,0#0
100430007,-1,100430,10,1052#1,0#0
100430008,-1,100430,10,2052#1,0#0
100430009,-1,100430,10,3052#1,0#0
100430010,-1,100430,10,4052#1,0#0
100430011,-1,100430,1200,14#8#12,0#0
100430012,-1,100430,100,6021#1,0#0
100430013,-1,100430,100,6022#1,0#0
100430014,-1,100430,100,6023#1,0#0
100430015,-1,100430,100,6024#1,0#0
100430016,-1,100430,100,6025#1,0#0
100430017,-1,100430,30,956001#1,0#0
100430018,-1,100430,18,24#1,0#0
100430019,-1,100430,4,25#1,0#0
100430020,-1,100430,1500,26#5#10,0#0
100430021,-1,100430,500,27#1#5,0#0
100430022,-1,100430,800,10#1#5,0#0
100430023,-1,100430,250,1041#1,0#0
100430024,-1,100430,250,2041#1,0#0
100430025,-1,100430,250,3041#1,0#0
100430026,-1,100430,250,4041#1,0#0
100430027,-1,100430,250,28#1,0#0
100431001,-1,100431,4146,0#0,0#0
100431002,-1,100431,12,1062#1,0#0
100431003,-1,100431,40,1052#1,0#0
100431004,-1,100431,1200,14#8#12,0#0
100431005,-1,100431,100,6021#1,0#0
100431006,-1,100431,100,6022#1,0#0
100431007,-1,100431,100,6023#1,0#0
100431008,-1,100431,100,6024#1,0#0
100431009,-1,100431,100,6025#1,0#0
100431010,-1,100431,30,956001#1,0#0
100431011,-1,100431,18,24#1,0#0
100431012,-1,100431,4,25#1,0#0
100431013,-1,100431,1500,26#5#10,0#0
100431014,-1,100431,500,27#1#5,0#0
100431015,-1,100431,800,10#1#5,0#0
100431016,-1,100431,1000,1041#1,0#0
100431017,-1,100431,250,28#1,0#0
100432001,-1,100432,4146,0#0,0#0
100432002,-1,100432,12,2062#1,0#0
100432003,-1,100432,40,2052#1,0#0
100432004,-1,100432,1200,14#8#12,0#0
100432005,-1,100432,100,6021#1,0#0
100432006,-1,100432,100,6022#1,0#0
100432007,-1,100432,100,6023#1,0#0
100432008,-1,100432,100,6024#1,0#0
100432009,-1,100432,100,6025#1,0#0
100432010,-1,100432,30,956001#1,0#0
100432011,-1,100432,18,24#1,0#0
100432012,-1,100432,4,25#1,0#0
100432013,-1,100432,1500,26#5#10,0#0
100432014,-1,100432,500,27#1#5,0#0
100432015,-1,100432,800,10#1#5,0#0
100432016,-1,100432,1000,2041#1,0#0
100432017,-1,100432,250,28#1,0#0
100433001,-1,100433,4146,0#0,0#0
100433002,-1,100433,12,3062#1,0#0
100433003,-1,100433,40,3052#1,0#0
100433004,-1,100433,1200,14#8#12,0#0
100433005,-1,100433,100,6021#1,0#0
100433006,-1,100433,100,6022#1,0#0
100433007,-1,100433,100,6023#1,0#0
100433008,-1,100433,100,6024#1,0#0
100433009,-1,100433,100,6025#1,0#0
100433010,-1,100433,30,956001#1,0#0
100433011,-1,100433,18,24#1,0#0
100433012,-1,100433,4,25#1,0#0
100433013,-1,100433,1500,26#5#10,0#0
100433014,-1,100433,500,27#1#5,0#0
100433015,-1,100433,800,10#1#5,0#0
100433016,-1,100433,1000,3041#1,0#0
100433017,-1,100433,250,28#1,0#0
100434001,-1,100434,4146,0#0,0#0
100434002,-1,100434,12,4062#1,0#0
100434003,-1,100434,40,4052#1,0#0
100434004,-1,100434,1200,14#8#12,0#0
100434005,-1,100434,100,6021#1,0#0
100434006,-1,100434,100,6022#1,0#0
100434007,-1,100434,100,6023#1,0#0
100434008,-1,100434,100,6024#1,0#0
100434009,-1,100434,100,6025#1,0#0
100434010,-1,100434,30,956001#1,0#0
100434011,-1,100434,18,24#1,0#0
100434012,-1,100434,4,25#1,0#0
100434013,-1,100434,1500,26#5#10,0#0
100434014,-1,100434,500,27#1#5,0#0
100434015,-1,100434,800,10#1#5,0#0
100434016,-1,100434,1000,4041#1,0#0
100434017,-1,100434,250,28#1,0#0
100435001,-1,100435,4086,0#0,0#0
100435002,-1,100435,60,940014#1,0#0
100435003,-1,100435,3,1062#1,0#0
100435004,-1,100435,3,2062#1,0#0
100435005,-1,100435,3,3062#1,0#0
100435006,-1,100435,3,4062#1,0#0
100435007,-1,100435,10,1052#1,0#0
100435008,-1,100435,10,2052#1,0#0
100435009,-1,100435,10,3052#1,0#0
100435010,-1,100435,10,4052#1,0#0
100435011,-1,100435,1200,14#8#12,0#0
100435012,-1,100435,100,6021#1,0#0
100435013,-1,100435,100,6022#1,0#0
100435014,-1,100435,100,6023#1,0#0
100435015,-1,100435,100,6024#1,0#0
100435016,-1,100435,100,6025#1,0#0
100435017,-1,100435,30,956001#1,0#0
100435018,-1,100435,18,24#1,0#0
100435019,-1,100435,4,25#1,0#0
100435020,-1,100435,1500,26#5#10,0#0
100435021,-1,100435,500,27#1#5,0#0
100435022,-1,100435,800,10#1#5,0#0
100435023,-1,100435,250,1041#1,0#0
100435024,-1,100435,250,2041#1,0#0
100435025,-1,100435,250,3041#1,0#0
100435026,-1,100435,250,4041#1,0#0
100435027,-1,100435,250,28#1,0#0
100436001,-1,100436,4146,0#0,0#0
100436002,-1,100436,12,1062#1,0#0
100436003,-1,100436,40,1052#1,0#0
100436004,-1,100436,1200,14#8#12,0#0
100436005,-1,100436,100,6021#1,0#0
100436006,-1,100436,100,6022#1,0#0
100436007,-1,100436,100,6023#1,0#0
100436008,-1,100436,100,6024#1,0#0
100436009,-1,100436,100,6025#1,0#0
100436010,-1,100436,30,956001#1,0#0
100436011,-1,100436,18,24#1,0#0
100436012,-1,100436,4,25#1,0#0
100436013,-1,100436,1500,26#5#10,0#0
100436014,-1,100436,500,27#1#5,0#0
100436015,-1,100436,800,10#1#5,0#0
100436016,-1,100436,1000,1041#1,0#0
100436017,-1,100436,250,28#1,0#0
100437001,-1,100437,4146,0#0,0#0
100437002,-1,100437,12,2062#1,0#0
100437003,-1,100437,40,2052#1,0#0
100437004,-1,100437,1200,14#8#12,0#0
100437005,-1,100437,100,6021#1,0#0
100437006,-1,100437,100,6022#1,0#0
100437007,-1,100437,100,6023#1,0#0
100437008,-1,100437,100,6024#1,0#0
