id,equip_id,stage_id
1,1011,1
2,1011,5
3,1011,11
4,1011,15
5,1011,16
6,1011,20
7,1012,6
8,1012,10
9,1012,21
10,1012,25
11,1012,26
12,1012,30
13,1012,31
14,1012,35
15,1021,11
16,1021,15
17,1021,16
18,1021,20
19,1021,36
20,1021,40
21,1021,41
22,1021,45
23,1021,46
24,1021,50
25,1022,21
26,1022,25
27,1022,26
28,1022,30
29,1022,31
30,1022,35
31,1022,51
32,1022,55
33,1022,56
34,1022,60
35,1022,61
36,1022,65
37,1022,66
38,1022,70
39,1022,91
40,1022,95
41,1022,96
42,1022,100
43,1022,101
44,1022,105
45,1022,106
46,1022,110
47,1022,111
48,1022,115
49,1022,116
50,1022,120
51,1022,121
52,1022,125
53,1022,126
54,1022,130
55,1031,36
56,1031,40
57,1031,41
58,1031,45
59,1031,46
60,1031,50
61,1031,71
62,1031,75
63,1031,76
64,1031,80
65,1031,81
66,1031,85
67,1031,86
68,1031,90
69,1031,131
70,1031,135
71,1031,136
72,1031,140
73,1031,141
74,1031,145
75,1031,146
76,1031,150
77,1032,51
78,1032,55
79,1032,56
80,1032,60
81,1032,61
82,1032,65
83,1032,66
84,1032,70
85,1032,91
86,1032,95
87,1032,96
88,1032,100
89,1032,101
90,1032,105
91,1032,106
92,1032,110
93,1032,111
94,1032,115
95,1032,116
96,1032,120
97,1032,121
98,1032,125
99,1032,126
100,1032,130
101,1032,151
102,1032,155
103,1032,156
104,1032,160
105,1032,161
106,1032,165
107,1032,166
108,1032,170
109,1032,171
110,1032,175
111,1032,176
112,1032,180
113,1032,181
114,1032,185
115,1032,186
116,1032,190
117,1041,71
118,1041,75
119,1041,76
120,1041,80
121,1041,81
122,1041,85
123,1041,86
124,1041,90
125,1041,191
126,1041,195
127,1041,196
128,1041,200
129,1041,201
130,1041,205
131,1041,206
132,1041,210
133,1041,211
134,1041,215
135,1041,216
136,1041,220
137,1041,221
138,1041,225
139,1041,226
140,1041,230
141,1041,231
142,1041,235
143,1041,236
144,1041,240
145,1041,241
146,1041,245
147,1041,246
148,1041,250
149,1041,251
150,1041,255
151,1041,256
152,1041,260
153,1041,261
154,1041,265
155,1041,266
156,1041,270
157,1041,271
158,1041,275
159,1041,276
160,1041,280
161,1041,281
162,1041,285
163,1041,286
164,1041,290
165,1041,291
166,1041,295
167,1041,296
168,1041,300
169,1041,301
170,1041,305
171,1041,306
172,1041,310
173,1041,311
174,1041,315
175,1041,316
176,1041,320
177,1041,321
178,1041,325
179,1041,326
180,1041,330
181,1041,331
182,1041,335
183,1041,336
184,1041,340
185,1041,341
186,1041,345
187,1041,346
188,1041,350
189,1041,351
190,1041,355
191,1041,356
192,1041,360
193,1041,361
194,1041,365
195,1041,366
196,1041,370
197,1041,371
198,1041,375
199,1041,376
200,1041,380
201,1041,381
202,1041,385
203,1041,386
204,1041,390
205,1041,391
206,1041,395
207,1041,396
208,1041,400
209,1041,401
210,1041,405
211,1041,406
212,1041,410
213,1042,91
214,1042,95
215,1042,96
216,1042,100
217,1042,101
218,1042,105
219,1042,106
220,1042,110
221,1042,131
222,1042,135
223,1042,136
224,1042,140
225,1042,141
226,1042,145
227,1042,146
228,1042,150
229,1043,111
230,1043,115
231,1043,116
232,1043,120
233,1043,121
234,1043,125
235,1043,126
236,1043,130
237,1043,151
238,1043,155
239,1043,156
240,1043,160
241,1043,161
242,1043,165
243,1043,166
244,1043,170
245,1051,131
246,1051,135
247,1051,136
248,1051,140
249,1051,141
250,1051,145
251,1051,146
252,1051,150
253,1051,171
254,1051,175
255,1051,176
256,1051,180
257,1051,181
258,1051,185
259,1051,186
260,1051,190
261,1052,151
262,1052,155
263,1052,156
264,1052,160
265,1052,161
266,1052,165
267,1052,166
268,1052,170
269,1052,191
270,1052,195
271,1052,196
272,1052,200
273,1052,201
274,1052,205
275,1052,206
