id,out_put,stay_max,update
1,1#800000,400000,1#50000|204#50
2,1#850000,425000,1#200000|204#200
3,1#900000,450000,1#350000|204#350
4,1#950000,475000,1#500000|204#500
5,1#1000000,500000,1#650000|204#650
6,1#1050000,525000,1#800000|204#800
7,1#1100000,550000,1#950000|204#950
8,1#1150000,575000,1#1100000|204#1100
9,1#1200000,600000,1#1250000|204#1250
10,1#1250000,625000,1#1400000|204#1400
11,1#1300000,650000,1#1550000|204#1550
12,1#1350000,675000,1#1700000|204#1700
13,1#1400000,700000,1#1850000|204#1850
14,1#1450000,725000,1#2000000|204#2000
15,1#1500000,750000,1#2150000|204#2150
16,1#1550000,775000,1#2300000|204#2300
17,1#1600000,800000,1#2450000|204#2450
18,1#1650000,825000,1#2600000|204#2600
19,1#1700000,850000,1#2750000|204#2750
20,1#1750000,875000,1#2900000|204#2900
21,1#1800000,900000,1#3050000|204#3050
22,1#1850000,925000,1#3200000|204#3200
23,1#1900000,950000,1#3350000|204#3350
24,1#1950000,975000,1#3500000|204#3500
25,1#2000000,1000000,1#3650000|204#3650
26,1#2050000,1025000,1#3800000|204#3800
27,1#2100000,1050000,1#3950000|204#3950
28,1#2150000,1075000,1#4100000|204#4100
29,1#2200000,1100000,1#4250000|204#4250
30,1#2250000,1125000,1#4400000|204#4400
31,1#2300000,1150000,1#4550000|204#4550
32,1#2350000,1175000,1#4700000|204#4700
33,1#2400000,1200000,1#4850000|204#4850
34,1#2450000,1225000,1#5000000|204#5000
35,1#2500000,1250000,1#5150000|204#5150
36,1#2550000,1275000,1#5300000|204#5300
37,1#2600000,1300000,1#5450000|204#5450
38,1#2650000,1325000,1#5600000|204#5600
39,1#2700000,1350000,1#5750000|204#5750
40,1#2750000,1375000,1#5900000|204#5900
41,1#2800000,1400000,1#6050000|204#6050
42,1#2850000,1425000,1#6200000|204#6200
43,1#2900000,1450000,1#6350000|204#6350
44,1#2950000,1475000,1#6500000|204#6500
45,1#3000000,1500000,1#6650000|204#6650
46,1#3050000,1525000,1#6800000|204#6800
47,1#3100000,1550000,1#6950000|204#6950
48,1#3150000,1575000,1#7100000|204#7100
49,1#3200000,1600000,1#7250000|204#7250
50,1#3250000,1625000,1#7400000|204#7400
